time,url,dcl,load,fcp,lcp,cls,fid
1616278588117,http://localhost:3000/,3125.319999991916,6017.9799999750685,3145.8699999784585,3223.634,0.11391130073991401,0
1616278594527,http://localhost:3000/,3122.540000011213,5112.185000005411,3143.8400000042748,3217.35,0.11391130073991401,3.850000008242205
1634968487263,http://localhost:3000/,3179.5999999940395,4760.800000011921,3230.300000011921,3230.3,0.10452186805040771,1.7999999821186066
1634968506406,http://localhost:3000/,3119.300000011921,4698.4000000059605,3127.2000000178814,3127.2,0.22070844686648503,1.9000000059604645
1634968551993,http://localhost:3000/,3164.800000011921,4722.800000011921,3181,0,0.22070844686648503,437.80000001192093
1634968562571,http://localhost:3000/,3085.7999999821186,5610.799999982119,5718,0,0,0.699999988079071
1634968588670,http://localhost:3000/,3105.0999999940395,4592.799999982119,3110.699999988079,3110.699,0.22070844686648503,0
1634968604963,http://localhost:3000/,3099,4405.800000011921,3106.300000011921,3106.3,0.22070844686648503,0
1634968635887,http://localhost:3000/,3135.4000000059605,5397.5,19802.09999999404,19802.099,0,0
1634969593853,http://localhost:3000/,3158.600000023842,5655.4000000059605,8606.40000000596,8606.4,0,0
1634970436540,http://localhost:3000/,3081,4647.699999988079,3085.5,3085.5,0.10452186805040771,3.7000000178813934
1634970465138,http://localhost:3000/,1757.5999999940395,3514.899999976158,1763.5999999940395,1763.599,0.10452186805040771,0.4000000059604645
1634970487178,http://localhost:3000/,1779.5999999940395,3480.199999988079,2532.7999999821186,2532.799,0.10452186805040771,0.4000000059604645
1634970527906,http://localhost:3000/,1790.0999999940395,3175.2999999821186,1799,1799,0.10452186805040771,0
1634970582764,http://localhost:3000/,1774.5,4257.5,12573.90000000596,12573.9,0,0
1634972450312,http://localhost:3000/,1771,4246.5,46899.5,46899.5,0,0.30000001192092896
1634972487751,http://localhost:3000/,1742.7000000178814,4064.2000000178814,1710.1000000238419,0,0.10452186805040771,821
1634972509864,http://localhost:3000/,1794.4000000059605,4065.699999988079,9434.799999982119,9434.799,0,0
1634973301298,http://localhost:3000/,1800.9000000059605,4846,5951.9000000059605,5951.9,0.10452186805040771,0
1634973410372,http://localhost:3000/,1768.0999999940395,4707.899999976158,4004.5999999940395,4004.599,0.10452186805040771,0
1634973454332,http://localhost:3000/,1675.9000000059605,2729.5,1668.300000011921,1668.3,0.10452186805040771,0
1634973470265,http://localhost:3000/,1665.300000011921,3914.5,9507.90000000596,9507.9,0,0
